Points,2000mSC,3000m,3000mSC,2mile,5000m,10,000m
1400,5:11.48,7:37.43,8:01.31,8:10.66,13:03.68,27:20.35
1399,5:11.70,7:37.70,8:01.67,8:10.95,13:04.15,27:21.37
1398,5:11.92,7:37.96,8:02.04,8:11.23,13:04.63,27:22.39
1397,5:12.15,7:38.23,8:02.41,8:11.52,13:05.10,27:23.42
1396,5:12.37,7:38.49,8:02.78,8:11.81,13:05.57,27:24.44
1395,5:12.59,7:38.76,8:03.14,8:12.10,13:06.04,27:25.46
1394,5:12.81,7:39.03,8:03.51,8:12.39,13:06.51,27:26.48
1393,5:13.03,7:39.29,8:03.88,8:12.68,13:06.98,27:27.51
1392,5:13.26,7:39.56,8:04.25,8:12.96,13:07.45,27:28.53
1391,5:13.48,7:39.82,8:04.62,8:13.25,13:07.92,27:29.56
1390,5:13.70,7:40.09,8:04.99,8:13.54,13:08.39,27:30.58
1389,5:13.92,7:40.36,8:05.36,8:13.83,13:08.87,27:31.61
1388,5:14.15,7:40.62,8:05.72,8:14.12,13:09.34,27:32.63
1387,5:14.37,7:40.89,8:06.09,8:14.41,13:09.81,27:33.66
1386,5:14.59,7:41.16,8:06.46,8:14.70,13:10.28,27:34.68
1385,5:14.81,7:41.42,8:06.83,8:14.99,13:10.76,27:35.71
1384,5:15.04,7:41.69,8:07.20,8:15.28,13:11.23,27:36.74
1383,5:15.26,7:41.96,8:07.57,8:15.57,13:11.70,27:37.77
1382,5:15.48,7:42.22,8:07.94,8:15.85,13:12.17,27:38.79
1381,5:15.71,7:42.49,8:08.31,8:16.14,13:12.65,27:39.82
1380,5:15.93,7:42.76,8:08.68,8:16.43,13:13.12,27:40.85
1379,5:16.15,7:43.02,8:09.05,8:16.72,13:13.59,27:41.88
1378,5:16.38,7:43.29,8:09.42,8:17.01,13:14.07,27:42.91
1377,5:16.60,7:43.56,8:09.79,8:17.30,13:14.54,27:43.94
1376,5:16.82,7:43.83,8:10.16,8:17.59,13:15.02,27:44.97
